Town/City,Clerk,Address,Phone (Area Code 603),Fax,E-Mail,Town Website Address,Polling Hours,Polling Place
MANCHESTER WARD 02,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,SMYTH ROAD SCHOOL 245 BRUCE RD MANCHESTER 03104
MANCHESTER WARD 03,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,CAROL M. RINES CENTER 1528 ELM ST MANCHESTER 03101
MANCHESTER WARD 04,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,MCDONOUGH SCHOOL 550 LOWELL ST MANCHESTER 03104
MANCHESTER WARD 05,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,BEECH STREET SCHOOL 333 BEECH ST MANCHESTER 03103
MANCHESTER WARD 06,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,MCLAUGHLIN MIDDLE SCHOOL 290 S MAMMOTH RD MANCHESTER 03109
MANCHESTER WARD 07,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,CARDINAL LACROIX ACADEMY COMMUNITY CENTER 148 BELMONT ST MANCHESTER 03103
MANCHESTER WARD 08,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,MEMORIAL HIGH SCHOOL 1 CRUSADER WAY MANCHESTER 03103
MANCHESTER WARD 09,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,BISHOP LEO E. O'NEIL YOUTH CENTER 30 S ELM ST MANCHESTER 03103
MANCHESTER WARD 10,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,PARKER VARNEY SCHOOL 223 JAMES A POLLOCK DR MANCHESTER 03102
MANCHESTER WARD 11,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,GOSSLER SCHOOL 145 PARKSIDE AVE MANCHESTER 03102
MANCHESTER WARD 12,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,NORTHWEST ELEMENTARY SCHOOL 300 YOUVILLE ST MANCHESTER 03102
MARLBOROUGH,KATHLEEN M CHAMBERLAIN,236 MAIN ST MARLBOROUGH 03455,876-4529,876-4703,TOWNCLERK@MARLBOROUGHNH.ORG,WWW.MARLBOROUGHNH.ORG,1:00 PM - 9:00 PM,MARLBOROUGH SCHOOL 41 FITCH CT MARLBOROUGH 03455
MARLOW,NICHOLE WILSON,167 NH RT 123 MARLOW 03456,446-2245,446-3806,MARLOWCLERK@MARLOWNH.GOV,WWW.MARLOWNH.GOV,2:00PM - 7:00PM,"JOHN D. PERKINS, SR. ACADEMY OF MARLOW 919 NH RT 10 MARLOW 03456"
MARTIN'S LOCATION,KAREN WILLHOITE,20 PARK ST MARTIN'S LOCATION 03581,466-2744,466-2744,KWILLHOITE@GORHAMNH.GOV,Not Applicable,Not Applicable,GORHAM TOWN HALL 20 PARK ST GORHAM - FOR POLLILNG LOCATION ONLY MARTIN'S LOCATION 03581
MASON,DEBRA A MORRISON,16 DARLING HILL RD MASON 03048,878-3768,878-4892,MASONTOWNCLERK@GMAIL.COM,WWW.MASONNH.US,11:00 AM - 7:00 PM,MASON ELEMENTARY SCHOOL 13 DARLING HILL RD MASON 03048
MEREDITH,KERRI ANN PARKER,41 MAIN STREET MEREDITH 03253,677-4203,279-1042,KPARKER@MEREDITHNH.GOV,WWW.MEREDITHNH.GOV,7:00 AM - 7:00 PM,MEREDITH COMMUNITY CENTER 1 CIRCLE DR MEREDITH 03253
MERRIMACK WARD 01,BRENDA S DULONG,6 BABOOSIC LAKE ROAD MERRIMACK 03054,424-3651,423-8539,BSDULONG@MERRIMACKNH.GOV,WWW.MERRIMACKNH.GOV,7:00 AM - 7:00 PM,MERRIMACK HIGH SCHOOL 38 MCELWAIN ST MERRIMACK 03054
MERRIMACK WARD 02,BRENDA S DULONG,6 BABOOSIC LAKE ROAD MERRIMACK 03054,424-3651,423-8539,BSDULONG@MERRIMACKNH.GOV,WWW.MERRIMACKNH.GOV,7:00 AM - 7:00 PM,MERRIMACK MIDDLE SCHOOL 31 MADELINE BENNETT - POLLING LOCATION ONLY LN MERRIMACK
MIDDLETON,ROY WILLIAM PARECE,182 KINGS HIGHWAY MIDDLETON 03887,473-5210,473-2450,TCTX@MIDDLETONNH.GOV,WWW.MIDDLETONNH.GOV,7:00 AM - 7:00 PM,OLD TOWN HALL 200 KINGS HWY MIDDLETON 03887
MILAN,DAWN G DUBE,PO BOX 158 MILAN 03588,449-3461,449-2624,MILANTOWNCLERK@GMAIL.COM,WWW.TOWNOFMILAN.COM,11:00AM - 07:00PM,MILAN VILLAGE SCHOOL 11 BRIDGE ST MILAN 03588
MILFORD,JOAN MARIE DARGIE,1 UNION SQUARE MILFORD 03055,249-0650,673-2273,JOAN.DARGIE@MILFORD.NH.GOV,WWW.MILFORD.NH.GOV/,6:00 AM - 8:00 PM,MILFORD HIGH SCHOOL 100 WEST ST MILFORD 03055
MILLSFIELD,CHRISTINE ROSE VIGNEAULT,495 W ROUTE 26 MILLSFIELD 03579,344-0117,Not Applicable,CVIGGY613@GMAIL.COM,Not Applicable,12:00 AM - 12:30 AM,MICHAEL VIGNEAULT 479 US ROUTE 26 ERROL 03579
MILTON,BRIAN LECLERC,PO BOX 180 MILTON 03851,652-4501,652-4120,TOWNCLERKTAXCOLLECTOR@MILTONNH-US.COM,WWW.MILTONNH-US.COM,8:00AM - 7:00PM,NUTE MIDDLE AND HIGH SCHOOL 22 ELM ST MILTON 03851
MONROE,AUDREY E DIMATTIES,PO BOX 63 MONROE 03771,638-2644,638-2021,MONROETC@MONROENH.ORG,MONROENH.ORG,12:00 PM - 6:00 PM,MONROE TOWN HALL 50 MAIN ST MONROE 03771
MONT VERNON,BELINDA YEATON,PO BOX 417 MONT VERNON 03057,673-9126,Not Applicable,BYEATON@MONTVERNONNH.US,WWW.MONTVERNONNH.US,7:00 AM - 7:00 PM,MONT VERNON VILLAGE SCHOOL 1 KITTREDGE RD MONT VERNON 03057
MOULTONBOROUGH,JULIA MARCHAND,PO BOX 15 MOULTONBOROUGH 03254,476-2347,476-2778,TOWNCLERK@MOULTONBOROUGHNH.GOV,WWW.MOULTONBOROUGHNH.GOV,7:00 AM - 7:00 PM,MOULTONBOROUGH ACADEMY 25 BLAKE RD MOULTONBOROUGH 03254
NASHUA WARD 01,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,589-3010,589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,BROAD STREET ELEMENTARY SCHOOL 390 BROAD ST NASHUA 03063
NASHUA WARD 02,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,589-3010,589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,CHARLOTTE AVENUE ELEMENTARY SCHOOL 48 CHARLOTTE AVE NASHUA 03064
NASHUA WARD 03,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,589-3010,589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 A.M. - 8:00 PM,AMHERST STREET ELEMENTARY SCHOOL 71 AMHERST ST NASHUA 03064
NASHUA WARD 04,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,589-3010,589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,LEDGE STREET ELEMENTARY SCHOOL 139 LEDGE ST NASHUA 03060
NASHUA WARD 05,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,589-3010,589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,NASHUA HIGH SCHOOL SOUTH GYMNASIUM 36 RIVERSIDE ST NASHUA 03062
NASHUA WARD 06,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,589-3010,589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,FAIRGROUNDS MIDDLE SCHOOL 27 CLEVELAND ST NASHUA 03060
NASHUA WARD 07,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,589-3010,589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,DR. NORMAN W. CRISP ELEMENTARY SCHOOL 50 ARLINGTON ST NASHUA 03060
NASHUA WARD 08,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,589-3010,589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,BICENTENNIAL ELEMENTARY SCHOOL 296 EAST DUNSTABLE RD NASHUA 03062
NASHUA WARD 09,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,589-3010,589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,NEW SEARLES ELEMENTARY SCHOOL 39 SHADY LN NASHUA 03062
NELSON,KAREN CASTELLI,7 NELSON COMMON RD NELSON 03457,847-9043,847-3197,TOWNCLERK@NELSONNH.US,WWW.TOWNOFNELSON.ORG,11:00 AM - 7:00 PM,NELSON TOWN HALL 3 NELSON COMMON RD NELSON 03457
NEW BOSTON,KIMBERLY A COLBERT,P O BOX 250 NEW BOSTON 03070,487-2500,487-2975,K.COLBERT@NEWBOSTONNH.GOV,WWW.NEWBOSTONNH.GOV,7:00 AM - 7:00 PM,NEW BOSTON CENTRAL ELEMENTARY SCHOOL 15 CENTRAL SCHOOL RD NEW BOSTON 03070
NEW CASTLE,ALLISON WHITE,PO BOX 367 NEW CASTLE 03854,431-6710,433-6198,TOWNCLERK@NEWCASTLE.NH.GOV,WWW.NEWCASTLENH.ORG,9:00 AM - 7:00 PM,NEW CASTLE RECREATION CENTER 301 WENTWORTH RD NEW CASTLE 03854
NEW DURHAM,ALICIA HOUSEL,P.O. BOX NEW DURHAM 03855,859-2091,859-6644,NDCLERK@NEWDURHAMNH.US,WWW.NEWDURHAMNH.US,8:00 - 7:00 PM,NEW DURHAM SCHOOL 7 OLD BAY RD NEW DURHAM 03855
NEW HAMPTON,REGINA M SCHOFIELD,PO BOX 538 NEW HAMPTON 03256,744-8454,Not Applicable,RADAMS@NEW-HAMPTON.NH.US,WWW.NEWHAMPTONNH.GOV,11:00 AM - 7:00 PM,NEW HAMPTON TOWN HOUSE 86 TOWN HOUSE RD NEW HAMPTON 03256
NEW IPSWICH,LISA MARIE CARBONE,661 TURNPIKE ROAD NEW IPSWICH 03071,878-2772,878-3855,TOWNCLERKTAX@NEWIPSWICHNH.GOV,WWW.TOWNOFNEWIPSWICH.ORG,7:00 AM - 7:00 PM,MASCENIC REGIONAL HIGH SCHOOL 175 TURNPIKE RD NEW IPSWICH 03071
NEW LONDON,WILL KIDDER,375 MAIN STREET NEW LONDON 03257,526-1244,526-9494,W.KIDDER@NEWLONDON.NH.GOV,NEWLONDON.NH.GOV,7:00 AM - 7:00 PM,WHIPPLE MEMORIAL TOWN HALL 25 SEAMANS RD NEW LONDON 03257
NEWBURY,LINDA JEAN PLUNKETT,PO BOX 253 NEWBURY 03255,763-5326,763-5298,LINDA@NEWBURYNH.ORG,WWW.NEWBURYNH.ORG,1:00 PM - 7:00 PM,TOWN OFFICE BUILDING 937 ROUTE 103 NEWBURY 03255
NEWFIELDS,SUE E MCKINNON,65 MAIN STREET NEWFIELDS 03856,772-5070,772-9004,SUEMCKINNON@NEWFIELDSNH.GOV,WWW.NEWFIELDSNH.GOV,8:00 AM - 7:00 PM,NEWFIELDS TOWN HALL 65 MAIN ST NEWFIELDS 03856
NEWINGTON,DOREEN ALISON CARADONNA,205 NIMBLE HILL RD NEWINGTON 03801,436-7640,Not Applicable,DCARADONNA@NEWINGTONNH.GOV,WWW.NEWINGTON.NH.US,11:00 AM - 7:00 PM,NEWINGTON TOWN HALL 205 NIMBLE HILL RD NEWINGTON 03801
NEWMARKET,TERRI J LITTLEFIELD,186 MAIN ST NEWMARKET 03857,659-3617,659-3441,TLITTLEFIELD@NEWMARKETNH.GOV,WWW.NEWMARKETNH.GOV,7:00 AM - 7:00 PM,NEWMARKET TOWN HALL 186 MAIN ST NEWMARKET 03857
NEWPORT,LISELLE G DUFORT,15 SUNAPEE STREET NEWPORT 03773,863-2224,863-8008,LDUFORT@NEWPORTNH.GOV,WWW.NEWPORTNH.GOV,08:00 AM - 07:00 PM,NEWPORT COMMUNITY CENTER 17 MEADOW RD NEWPORT 03773
NEWTON,MARY JO MCCULLOUGH,2 TOWN HALL ROAD NEWTON 03858,382-4405,382-2596,TOWNCLERKTAXCOLLECTOR@NEWTONNH.NET,WWW.NEWTON-NH.GOV,8:00 AM - 8:00 PM,NEWTON SAFETY COMPLEX 8 MERRIMAC RD NEWTON 03858
NORTH HAMPTON,SUSAN M BUCHANAN,237 ATLANTIC AVENUE NORTH HAMPTON 03862,964-6029,Not Applicable,SBUCHANAN@NORTHHAMPTON-NH.GOV,WWW.NORTHHAMPTON-NH.GOV,8:00 AM - 7:00 PM,NORTH HAMPTON SCHOOL 201 ATLANTIC AVE NORTH HAMPTON 03862
NORTHFIELD,HEATHER FAILLA,21 SUMMER STREET NORTHFIELD 03276,286-4482,286-3328,TCTC@NORTHFIELDNH.GOV,WWW.NORTHFIELDNH.ORG,7:00 AM - 7:00 PM,PINES COMMUNITY CENTER 61 SUMMER ST NORTHFIELD 03276
NORTHUMBERLAND,KATHY WILES,19 MAIN STREET NORTHUMBERLAND 03582,636-1450,636-6098,TCTX@NORTHUMBERLANDNH.GOV,WWW.NORTHUMBERLANDNH.GOV,11:00 AM - 7:00 PM,NORTHUMBERLAND TOWN HALL 10 STATION SQUARE ST NORTHUMBERLAND 03582
NORTHWOOD,MARISA RUSSO,818 FIRST NH TPKE NORTHWOOD 03261,942-5586,Not Applicable,MRUSSO@NORTHWOODNH.ORG,WWW.NORTHWOODNH.ORG,7:00 AM - 7:00 PM,NORTHWOOD SCHOOL 511 1ST NH TPKE NORTHWOOD 03261
NOTTINGHAM,ALANA JEANE KENNEY,PO BOX 114 NOTTINGHAM 03290,679-9598,Not Applicable,TOWNCLERK@NOTTINGHAM-NH.GOV,WWW.NOTTINGHAM-NH.GOV,7:00 AM - 7:00 PM,NOTTINGHAM TOWN HALL 139 STAGE RD NOTTINGHAM 03290
ODELL,DONNA M DEMERS,100 PO Box 100 ODELL 03579,482-3351,482-3804,ERROLTOWNCLERK@GMAIL.COM,Not Applicable,3:00PM - 7:00PM,ERROL TOWN HALL 33 US ROUTE 3 ODELL 03576
ORANGE,TAMARA LYN FAIRBANK,PO BOX 37 ORANGE 03741,523-7054,Not Applicable,ORANGENHTOWNCLERK@GMAIL.COM,WWW.ORANGENH.US (UNOFFICIAL COMMUNITY RUN WEBSITE),Not Applicable,ORANGE TOWN HOUSE 8 TOWNHOUSE RD ORANGE 03741
ORFORD,DEBORAH M HADLOCK,2529 ROUTE 25A ORFORD 03777,353-4404,353-4489,TOWNCLERK@ORFORDNH.US,WWW.ORFORDNH.US,Not Applicable,ORFORD TOWN OFFICE 2529 ROUTE 25A ORFORD 03777
OSSIPEE,KELLIE J SKEHAN,PO BOX 67 OSSIPEE 03814,539-2008,Not Applicable,KSKEHAN@OSSIPEE.ORG,WWW.OSSIPEE.ORG,10:00 AM - 7:00 PM,OSSIPEE TOWN HALL 55 MAIN ST OSSIPEE 03814
PELHAM,LINDA YVONNE NEWCOMB,6 VILLAGE GREEN PELHAM 03076,508-3076,508-3096,TOWNCLERK@PELHAMWEB.COM,WWW.PELHAMWEB.COM,7:00 AM - 8:00 PM,PELHAM HIGH SCHOOL 85 MARSH RD PELHAM 03076
PEMBROKE,JAMES F GOFF,311 PEMBROKE STREET PEMBROKE 03275,485-4747,485-3967,JGOFF@PEMBROKE-NH.COM,WWW.PEMBROKE-NH.COM,11:00 AM - 7:00 PM,PEMBROKE ACADEMY HIGH SCHOOL 209 ACADEMY RD PEMBROKE 03275
PETERBOROUGH,LINDA M GUYETTE,1 GROVE ST PETERBOROUGH 03458,784-5605,924-8001,TOWNCLERK@PETERBOROUGHNH.GOV,WWW.PETERBOROUGHNH.GOV,7:00 AM - 7:00 PM,PETERBOROUGH TOWN HOUSE 1 GROVE ST PETERBOROUGH 03458
PIERMONT,BERNADETTE RATEL,130 ROUTE 10 PIERMONT 03779,272-4840,272-9182,BERNADETTE.RATEL@TOWNOFPIERMONTNH.ORG,BERNADETTE.RATEL@TOWNOFPIERMONTNH.ORG,10AM - 7PM,OLD CHURCH BUIDING 132 ROUTE 10 PIERMONT 03779
PINKHAM'S GRANT,KAREN WILLHOITE,20 PARK STREET PINKHAM'S GRANT 03581,466-2744,466-2744,KWILLHOITE@GORHAMNH.GOV,Not Applicable,Not Applicable,GORHAM TOWN HALL-20 PARK STREET GORHAM NH 20 PARK ST PINKHAM'S GRANT 03581
PITTSBURG,MARISE CLAIRE BURNS,1526 MAIN STREET PITTSBURG 03592,538-6699,538-6697,PITTSBURG1NH@GMAIL.COM,WWW.PITTSBURG-NH.COM,Not Applicable,COMMUNITY HALL 1611 MAIN ST PITTSBURG 03592
PITTSFIELD,ERICA ANNE ANTHONY,85 MAIN STREET PITTSFIELD 03263,435-6773,435-7922,EANTHONY@PITTSFIELDNH.GOV,WWW.PITTSFIELDNH.GOV,7:00 AM - 7:00 PM,PITTSFIELD MIDDLE HIGH SCHOOL GYMNASIUM 23 ONEIDA ST PITTSFIELD 03263
PLAINFIELD,SARAH ELIZABETH TROUT BERMAN,PO BOX 380 PLAINFIELD 03770,469-3201,469-3642,SBERMAN@PLAINFIELDNH.ORG,WWW.PLAINFIELDNH.ORG,8:00 AM - 7:00 PM,PLAINFIELD ELEMENTARY SCHOOL 92 BONNER RD PLAINFIELD 03770
PLAISTOW,MARTHA L. FOWLER,145 MAIN STREET PLAISTOW 03865,382-8129,382-7183,TOWNCLERK@PLAISTOW.COM,WWW.PLAISTOW.COM,7:00 AM - 7:00 PM,PLAISTOW FISH & GAME CLUB 18 MAY RAY AVE PLAISTOW 03865
PLYMOUTH,AIMEE K LEE,6 POST OFFICE SQUARE PLYMOUTH 03264,536-1732,536-0036,TOWNCLERK@PLYMOUTHNH.GOV,WWW.PLYMOUTHNH.GOV,8:00 AM - 7:00 PM,PLYMOUTH ELEMENTARY SCHOOL 43 OLD WARD BRIDGE RD PLYMOUTH 03264
PORTSMOUTH WARD 01,SALLY A KELLAR,1 JUNKINS AVENUE PORTSMOUTH 03801,610-7208,610-4158,SAKELLAR@PORTSMOUTHNH.GOV,WWW.CITYOFPORTSMOUTH.COM,8:00 AM - 7:00 PM,NEW FRANKLIN SCHOOL 1 FRANKLIN DR PORTSMOUTH 03801
PORTSMOUTH WARD 02,SALLY A KELLAR,1 JUNKINS AVENUE PORTSMOUTH 03801,610-7208,610-4158,SAKELLAR@PORTSMOUTHNH.GOV,WWW.CITYOFPORTSMOUTH.COM,8:00 AM - 7:00 PM,MIDDLE SCHOOL 155 PARROTT AVE PORTSMOUTH 03801
PORTSMOUTH WARD 03,SALLY A KELLAR,1 JUNKINS AVENUE PORTSMOUTH 03801,610-7208,610-4158,SAKELLAR@PORTSMOUTHNH.GOV,WWW.CITYOFPORTSMOUTH.COM,8:00 AM - 7:00 PM,PORTSMOUTH SENIOR ACTIVITY CENTER 125 COTTAGE ST PORTSMOUTH 03801
PORTSMOUTH WARD 04,SALLY A KELLAR,1 JUNKINS AVENUE PORTSMOUTH 03801,610-7208,610-4158,SAKELLAR@PORTSMOUTHNH.GOV,WWW.CITYOFPORTSMOUTH.COM,8:00 AM - 7:00 PM,DONDERO SCHOOL 32 VAN BUREN AVE PORTSMOUTH 03801
PORTSMOUTH WARD 05,SALLY A KELLAR,1 JUNKINS AVENUE PORTSMOUTH 03801,610-7208,610-4158,SAKELLAR@PORTSMOUTHNH.GOV,WWW.CITYOFPORTSMOUTH.COM,8:00 AM - 7:00 PM,LITTLE HARBOUR SCHOOL 50 CLOUGH DR PORTSMOUTH 03801
RANDOLPH,ANNE KENISON,130 DURAND ROAD RANDOLPH 03593,466-5771,466-9856,TOWNCLERK@RANDOLPH.NH.GOV,WWW.RANDOLPH.NH.GOV,11:00 AM - 7:00 PM,RANDOLPH TOWN HALL 130 DURAND RD RANDOLPH 03593
RAYMOND,ALYSSA C RICHARD-ENOS,4 EPPING STREET RAYMOND 03077,895-7024,895-7064,ARICHARD@RAYMONDNH.GOV,WWW.RAYMONDNH.GOV,7:00 AM - 7:00 PM,IBER HOLMES GOVE MIDDLE SCHOOL 1 STEPHEN K BATCHELDER PKWY RAYMOND 03077
RICHMOND,KAREN A OBRIEN,105 OLD HOMESTEAD HWY RICHMOND 03470,239-6202,Not Applicable,OBRIENRICHMONDCLERK@GMAIL.COM,WWW.RICHMOND.NH.GOV,11:00 AM - 7:00 PM,VETERANS MEMORIAL HALL 150 OLD HOMESTEAD HWY RICHMOND 03470
RINDGE,SHANA EICHNER,30 PAYSON HILL ROAD RINDGE 03461,899-5181,Not Applicable,TOWNCLERK@RINDGENH.GOV,WWW.RINDGENH.GOV,7:00 AM - 7:00 PM,RINDGE MEMORIAL SCHOOL 58 SCHOOL ST RINDGE 03461
ROCHESTER WARD 01,KELLY ANNE WALTERS,150 WAKEFIELD ST ROCHESTER 03867,332-2130,509-1915,CITYCLERK@ROCHESTERNH.GOV,WWW.ROCHESTERNH.GOV,8:00 AM - 7:00 PM,W-1 SALMON FALLS SCHOOL 753 SALMON FALLS RD EAST ROCHESTER 03868
ROCHESTER WARD 02,KELLY ANNE WALTERS,150 WAKEFIELD ST ROCHESTER 03867,332-2130,509-1915,CITYCLERK@ROCHESTERNH.GOV,WWW.ROCHESTERNH.GOV,8:00 AM - 7:00 PM,W-2 CHAMBERLAIN STREET SCHOOL 65 CHAMBERLAIN ST ROCHESTER 03867
ROCHESTER WARD 03,KELLY ANNE WALTERS,150 WAKEFIELD ST ROCHESTER 03867,332-2130,509-1915,CITYCLERK@ROCHESTERNH.GOV,WWW.ROCHESTERNH.GOV,8:00 AM - 7:00 PM,W-3 GONIC ELEMENTARY SCHOOL 10 RAILROAD AVE ROCHESTER 03839
ROCHESTER WARD 04,KELLY ANNE WALTERS,150 WAKEFIELD ST ROCHESTER 03867,332-2130,509-1915,CITYCLERK@ROCHESTERNH.GOV,WWW.ROCHESTERNH.GOV,8:00 AM - 7:00 PM,W-4 MCCLELLAND ELEMENTARY SCHOOL 59 BROCK ST ROCHESTER 03867
ROCHESTER WARD 05,KELLY ANNE WALTERS,150 WAKEFIELD ST ROCHESTER 03867,332-2130,509-1915,CITYCLERK@ROCHESTERNH.GOV,WWW.ROCHESTERNH.GOV,8:00 AM - 7:00 PM,W-5 JAMES W FOLEY MEMORIAL COMMUNITY CENTER - ENTRANCE B 150 WAKEFIELD ST ROCHESTER 03867
ROCHESTER WARD 06,KELLY ANNE WALTERS,150 WAKEFIELD ST ROCHESTER 03867,332-2130,509-1915,CITYCLERK@ROCHESTERNH.GOV,WWW.ROCHESTERNH.GOV,8:00 AM - 7:00 PM,W-6 ELKS LODGE 1393 295 COLUMBUS AVE ROCHESTER 03867
ROLLINSFORD,NANCY MCCAULEY,PO BOX 309 ROLLINSFORD 03869,742-2510,740-0254,CLERK@ROLLINSFORD.NH.US,WWW.ROLLINSFORD.NH.US,7:00 AM - 7:00PM,AMERICAN LEGION POST 47 551 FOUNDRY ST ROLLINSFORD 03869
ROXBURY,ROBIN LEIGH BUFFUM,562 MIDDLETOWN ROAD ROXBURY 03431,499-3041,Not Applicable,ROXBURYTOWNCLERK@YAHOO.COM,WWW.ROXBURYNH.ORG,6:00 PM - 8:30 PM,ROXBURY TOWN HALL 3 MIDDLETOWN RD ROXBURY 03431
RUMNEY,DAWN J COFFEY,PO BOX 275 RUMNEY 03266,786-2237,786-2237,TOWNCLERK@RUMNEYNH.ORG,WWW.RUMNEYNH.ORG,8:00 AM - 7:00 PM,RUSSELL ELEMENTARY SCHOOL 195 SCHOOL ST RUMNEY 03266
RYE,AMY E THIBODEAU,500 WASHINGTON RD RYE 03870,964-8562,964-1587,ATHIBODEAU@TOWN.RYE.NH.US,WWW.TOWN.RYE.NH.US,8:00 AM - 7:00 PM,RYE ELEMENTARY SCHOOL 461 SAGAMORE RD RYE 03870
SALEM WARD 01,NICOLE L MORSE,33 GEREMONTY DR SALEM 03079,890-2116,685-6402,NMORSE@SALEMNH.GOV,SALEMNH.GOV,07:00 AM - 07:00 PM,WOODBURY MIDDLE SCHOOL 206 MAIN ST SALEM 03079
SALEM WARD 02,NICOLE L MORSE,33 GEREMONTY DR SALEM 03079,890-2116,685-6402,NMORSE@SALEMNH.GOV,SALEMNH.GOV,7:00 AM - 7:00 PM,NO. SALEM SCHOOL 140 ZION HILL RD SALEM 03079
SALEM WARD 03,NICOLE L MORSE,33 GEREMONTY DR SALEM 03079,890-2116,685-6402,NMORSE@SALEMNH.GOV,SALEMNH.GOV,7:00 AM - 7:00 PM,FISK SCHOOL 14 MAIN ST SALEM 03079
SALEM WARD 04,NICOLE L MORSE,33 GEREMONTY DR SALEM 03079,890-2116,685-6402,NMORSE@SALEMNH.GOV,SALEMNH.GOV,7:00 AM - 7:00 PM,BARRON SCHOOL 55 BUTLER ST SALEM 03079
SALISBURY,BEVERLEY TILLEY,PO BOX 2 SALISBURY 03268,648-6322,648-6658,TCLERKSALISBURY@GMAIL.COM,WWW.SALISBURYNH.ORG,11:00 AM - 7:00 PM,SALISBURY TOWN HALL 645 OLD TURNPIKE RD SALISBURY 03268
SANBORNTON,JULIANA ALANE LONERGAN,PO BOX 124 SANBORNTON 03269,286-4034,286-9544,TCTC@SANBORNTONNH.ORG,WWW.SANBORNTONNH.ORG,07:00AM - 07:00PM,OLD TOWN HALL 19 MEETING HOUSE HILL RD SANBORNTON 03269
SANBORNTON,JULIANA ALANE LONERGAN,PO BOX 124 SANBORNTON 03269,286-4034,286-9544,TCTC@SANBORNTONNH.ORG,WWW.SANBORNTONNH.ORG,7:00 AM - 7:00 PM,SANBORNTON CENTRAL SCHOOL 16 HUNKINS POND RD SANBORNTON 03269
SANDOWN,TANYA GAYNOR,PO BOX 583 SANDOWN 03873,887-4870,887-5163,TGAYNOR@SANDOWN.US,WWW.SANDOWN.US,8:00 AM - 8:00 PM,SANDOWN TOWN HALL 320 MAIN ST SANDOWN 03873
